emp_no,dept_no,dept_name,title,to_date,birth_date
49340,d004,Production,Engineer,9999-01-01,1955-08-30
49342,d007,Sales,Senior Staff,9999-01-01,1952-03-09
49343,d007,Sales,Senior Staff,9999-01-01,1952-07-26
49346,d006,Quality Management,Assistant Engineer,9999-01-01,1954-11-19
49348,d005,Development,Senior Engineer,9999-01-01,1952-03-04
49351,d009,Customer Service,Senior Staff,9999-01-01,1953-07-17
49353,d005,Development,Senior Engineer,9999-01-01,1954-07-12
49354,d003,Human Resources,Senior Staff,9999-01-01,1954-06-03
49355,d008,Research,Engineer,9999-01-01,1952-07-25
49361,d009,Customer Service,Senior Staff,9999-01-01,1954-09-21
49365,d006,Quality Management,Engineer,9999-01-01,1954-07-06
49368,d008,Research,Senior Staff,9999-01-01,1952-06-08
49379,d007,Sales,Senior Staff,9999-01-01,1952-04-15
49382,d003,Human Resources,Senior Staff,9999-01-01,1954-12-06
49383,d009,Customer Service,Assistant Engineer,9999-01-01,1952-10-24
49385,d005,Development,Engineer,9999-01-01,1953-03-05
49387,d003,Human Resources,Senior Staff,9999-01-01,1952-04-03
49390,d005,Development,Assistant Engineer,9999-01-01,1952-06-01
49391,d004,Production,Engineer,9999-01-01,1955-05-10
49392,d005,Development,Senior Engineer,9999-01-01,1955-03-06
49396,d005,Development,Engineer,9999-01-01,1953-06-06
49404,d004,Production,Engineer,9999-01-01,1954-12-20
49412,d007,Sales,Senior Staff,9999-01-01,1955-05-10
49414,d001,Marketing,Senior Staff,9999-01-01,1955-08-03
49424,d001,Marketing,Senior Staff,9999-01-01,1954-06-18
49430,d005,Development,Senior Engineer,9999-01-01,1952-05-26
49432,d005,Development,Engineer,9999-01-01,1953-09-27
49433,d004,Production,Engineer,9999-01-01,1955-01-17
49434,d004,Production,Engineer,9999-01-01,1955-01-10
49436,d005,Development,Senior Engineer,9999-01-01,1953-04-21
49437,d003,Human Resources,Senior Staff,9999-01-01,1953-05-27
49438,d005,Development,Technique Leader,9999-01-01,1952-05-30
49449,d004,Production,Engineer,9999-01-01,1954-01-06
49457,d003,Human Resources,Senior Staff,9999-01-01,1953-01-03
49461,d005,Development,Senior Engineer,9999-01-01,1953-08-24
49462,d001,Marketing,Senior Staff,9999-01-01,1953-10-27
49465,d007,Sales,Senior Staff,9999-01-01,1955-04-30
49480,d001,Marketing,Senior Staff,9999-01-01,1954-12-22
49484,d008,Research,Staff,9999-01-01,1952-10-21
49490,d004,Production,Technique Leader,9999-01-01,1953-06-25
49492,d008,Research,Senior Staff,9999-01-01,1953-08-01
49496,d007,Sales,Senior Staff,9999-01-01,1954-01-09
49501,d005,Development,Engineer,9999-01-01,1953-11-20
49513,d007,Sales,Senior Staff,9999-01-01,1953-09-20
49515,d007,Sales,Senior Staff,9999-01-01,1952-06-16
49521,d004,Production,Engineer,9999-01-01,1955-11-08
49524,d007,Sales,Staff,9999-01-01,1954-04-06
49527,d005,Development,Senior Engineer,9999-01-01,1954-05-21
49532,d002,Finance,Senior Staff,9999-01-01,1954-04-21
49534,d007,Sales,Senior Staff,9999-01-01,1953-06-23
49537,d008,Research,Engineer,9999-01-01,1955-03-26
49541,d003,Human Resources,Staff,9999-01-01,1954-11-26
49545,d005,Development,Technique Leader,9999-01-01,1954-01-26
49555,d006,Quality Management,Engineer,9999-01-01,1952-11-25
49556,d004,Production,Engineer,9999-01-01,1952-04-28
49558,d004,Production,Assistant Engineer,9999-01-01,1953-06-07
49560,d007,Sales,Senior Staff,9999-01-01,1952-03-06
49562,d005,Development,Senior Engineer,9999-01-01,1953-09-23
49565,d005,Development,Engineer,9999-01-01,1954-01-21
49566,d004,Production,Engineer,9999-01-01,1953-12-18
49570,d001,Marketing,Senior Staff,9999-01-01,1954-08-17
49574,d005,Development,Engineer,9999-01-01,1955-11-11
49583,d005,Development,Senior Engineer,9999-01-01,1955-12-25
49587,d001,Marketing,Senior Staff,9999-01-01,1954-01-04
49588,d002,Finance,Senior Staff,9999-01-01,1953-07-28
49594,d005,Development,Engineer,9999-01-01,1953-12-06
49599,d007,Sales,Senior Staff,9999-01-01,1954-10-03
49601,d005,Development,Engineer,9999-01-01,1955-03-01
49610,d003,Human Resources,Staff,9999-01-01,1953-03-18
49617,d008,Research,Senior Staff,9999-01-01,1952-02-24
49619,d006,Quality Management,Engineer,9999-01-01,1953-04-17
49622,d005,Development,Senior Engineer,9999-01-01,1955-12-07
49624,d004,Production,Assistant Engineer,9999-01-01,1952-09-08
49625,d009,Customer Service,Senior Staff,9999-01-01,1953-01-15
49637,d005,Development,Assistant Engineer,9999-01-01,1954-05-18
49644,d004,Production,Engineer,9999-01-01,1953-08-12
49646,d004,Production,Senior Engineer,9999-01-01,1953-01-25
49656,d007,Sales,Staff,9999-01-01,1952-03-17
49659,d008,Research,Senior Staff,9999-01-01,1952-04-01
49660,d005,Development,Senior Staff,9999-01-01,1955-12-21
49667,d007,Sales,Senior Staff,9999-01-01,1954-06-12
49668,d002,Finance,Staff,9999-01-01,1955-07-25
49675,d002,Finance,Senior Staff,9999-01-01,1955-12-23
49678,d002,Finance,Senior Staff,9999-01-01,1952-07-27
49679,d005,Development,Technique Leader,9999-01-01,1955-09-07
49680,d001,Marketing,Senior Staff,9999-01-01,1955-10-17
49682,d007,Sales,Senior Staff,9999-01-01,1954-07-04
49685,d007,Sales,Senior Staff,9999-01-01,1954-04-19
49687,d002,Finance,Staff,9999-01-01,1954-06-11
49696,d007,Sales,Senior Staff,9999-01-01,1952-09-28
49699,d006,Quality Management,Engineer,9999-01-01,1953-11-17
49707,d004,Production,Assistant Engineer,9999-01-01,1954-08-09
49708,d005,Development,Engineer,9999-01-01,1955-06-08
49710,d009,Customer Service,Engineer,9999-01-01,1955-06-09
49715,d005,Development,Technique Leader,9999-01-01,1955-01-20
49732,d004,Production,Assistant Engineer,9999-01-01,1955-02-10
49733,d002,Finance,Senior Staff,9999-01-01,1952-03-27
49735,d007,Sales,Staff,9999-01-01,1954-04-04
49743,d004,Production,Engineer,9999-01-01,1955-04-17
49745,d007,Sales,Senior Staff,9999-01-01,1954-03-11
49747,d004,Production,Engineer,9999-01-01,1954-04-22
49754,d007,Sales,Senior Staff,9999-01-01,1954-04-18
49758,d004,Production,Engineer,9999-01-01,1953-03-16
49762,d007,Sales,Senior Staff,9999-01-01,1952-07-30
49766,d003,Human Resources,Staff,9999-01-01,1953-07-26
49772,d004,Production,Engineer,9999-01-01,1954-06-13
49774,d004,Production,Technique Leader,9999-01-01,1955-06-02
49775,d005,Development,Engineer,9999-01-01,1954-06-26
49778,d004,Production,Assistant Engineer,9999-01-01,1954-01-08
49786,d005,Development,Engineer,9999-01-01,1954-12-17
49787,d004,Production,Assistant Engineer,9999-01-01,1954-03-30
49788,d004,Production,Engineer,9999-01-01,1952-04-08
49792,d005,Development,Technique Leader,9999-01-01,1954-09-18
49795,d007,Sales,Senior Staff,9999-01-01,1952-04-08
49796,d004,Production,Assistant Engineer,9999-01-01,1954-09-20
49798,d001,Marketing,Senior Staff,9999-01-01,1954-11-02
49806,d001,Marketing,Senior Staff,9999-01-01,1955-03-14
49811,d007,Sales,Senior Staff,9999-01-01,1952-04-09
49813,d005,Development,Engineer,9999-01-01,1955-09-17
49814,d003,Human Resources,Staff,9999-01-01,1954-09-24
49817,d008,Research,Engineer,9999-01-01,1952-03-28
49820,d003,Human Resources,Senior Staff,9999-01-01,1954-02-23
49824,d006,Quality Management,Assistant Engineer,9999-01-01,1953-07-11
49825,d004,Production,Engineer,9999-01-01,1955-11-04
49826,d004,Production,Engineer,9999-01-01,1953-10-20
49829,d003,Human Resources,Senior Staff,9999-01-01,1953-12-23
49835,d004,Production,Engineer,9999-01-01,1954-05-15
49842,d002,Finance,Staff,9999-01-01,1953-02-16
49848,d007,Sales,Senior Staff,9999-01-01,1954-08-31
49850,d009,Customer Service,Senior Staff,9999-01-01,1953-04-14
49857,d004,Production,Senior Engineer,9999-01-01,1955-05-07
49860,d004,Production,Engineer,9999-01-01,1952-05-02
49861,d007,Sales,Senior Staff,9999-01-01,1953-10-24
49862,d009,Customer Service,Staff,9999-01-01,1953-12-04
49869,d003,Human Resources,Senior Staff,9999-01-01,1953-03-24
49880,d005,Development,Engineer,9999-01-01,1955-03-28
49889,d009,Customer Service,Senior Staff,9999-01-01,1954-11-14
49893,d004,Production,Senior Engineer,9999-01-01,1953-11-10
49894,d005,Development,Staff,9999-01-01,1952-02-12
49900,d009,Customer Service,Senior Staff,9999-01-01,1953-07-19
49902,d008,Research,Engineer,9999-01-01,1955-03-25
49907,d009,Customer Service,Staff,9999-01-01,1952-10-11
49909,d005,Development,Technique Leader,9999-01-01,1953-09-20
49912,d002,Finance,Senior Staff,9999-01-01,1954-11-14
49915,d009,Customer Service,Senior Staff,9999-01-01,1952-06-14
49918,d006,Quality Management,Engineer,9999-01-01,1955-11-06
49920,d007,Sales,Senior Staff,9999-01-01,1952-08-15
49922,d005,Development,Engineer,9999-01-01,1954-10-25
49924,d009,Customer Service,Senior Staff,9999-01-01,1954-10-15
49930,d007,Sales,Senior Staff,9999-01-01,1952-11-15
49934,d004,Production,Engineer,9999-01-01,1955-09-01
49937,d004,Production,Senior Engineer,9999-01-01,1954-12-26
49940,d005,Development,Senior Engineer,9999-01-01,1955-04-02
49942,d003,Human Resources,Senior Staff,9999-01-01,1955-11-14
49951,d005,Development,Engineer,9999-01-01,1954-02-06
49954,d004,Production,Engineer,9999-01-01,1955-02-24
49963,d005,Development,Senior Engineer,9999-01-01,1952-11-04
49967,d004,Production,Engineer,9999-01-01,1955-09-19
49971,d004,Production,Senior Engineer,9999-01-01,1954-10-02
49975,d007,Sales,Senior Staff,9999-01-01,1954-07-22
49979,d004,Production,Engineer,9999-01-01,1953-10-07
49983,d003,Human Resources,Senior Staff,9999-01-01,1954-03-09
49989,d004,Production,Senior Engineer,9999-01-01,1954-05-25
49992,d005,Development,Technique Leader,9999-01-01,1953-09-01
49994,d004,Production,Engineer,9999-01-01,1952-07-22
50002,d007,Sales,Senior Staff,9999-01-01,1952-03-23
50006,d005,Development,Engineer,9999-01-01,1952-03-01
50016,d003,Human Resources,Senior Staff,9999-01-01,1953-07-12
50019,d005,Development,Engineer,9999-01-01,1954-11-16
50022,d004,Production,Senior Engineer,9999-01-01,1955-06-17
50027,d004,Production,Engineer,9999-01-01,1955-05-21
50031,d003,Human Resources,Senior Staff,9999-01-01,1954-10-24
50034,d005,Development,Senior Engineer,9999-01-01,1955-07-20
50037,d008,Research,Senior Staff,9999-01-01,1953-07-16
50041,d006,Quality Management,Engineer,9999-01-01,1953-02-15
50048,d008,Research,Senior Staff,9999-01-01,1955-02-27
50051,d005,Development,Assistant Engineer,9999-01-01,1954-10-20
50062,d005,Development,Engineer,9999-01-01,1952-11-25
50069,d006,Quality Management,Senior Engineer,9999-01-01,1954-03-20
50071,d005,Development,Technique Leader,9999-01-01,1953-03-13
50075,d007,Sales,Senior Staff,9999-01-01,1953-01-23
50080,d001,Marketing,Senior Staff,9999-01-01,1954-01-17
50083,d007,Sales,Staff,9999-01-01,1953-02-23
50093,d005,Development,Engineer,9999-01-01,1953-06-13
50099,d001,Marketing,Senior Staff,9999-01-01,1955-02-04
50102,d005,Development,Engineer,9999-01-01,1955-07-27
50104,d005,Development,Engineer,9999-01-01,1953-07-08
50111,d008,Research,Senior Staff,9999-01-01,1953-10-28
50115,d008,Research,Engineer,9999-01-01,1952-12-08
50126,d008,Research,Senior Staff,9999-01-01,1953-05-03
50130,d004,Production,Engineer,9999-01-01,1952-08-25
50139,d007,Sales,Senior Staff,9999-01-01,1953-01-20
50145,d006,Quality Management,Senior Engineer,9999-01-01,1952-11-26
50147,d002,Finance,Senior Staff,9999-01-01,1954-10-13
50148,d004,Production,Engineer,9999-01-01,1952-06-16
50149,d005,Development,Engineer,9999-01-01,1954-01-13
50150,d007,Sales,Staff,9999-01-01,1954-12-21
50152,d005,Development,Engineer,9999-01-01,1954-07-27
50157,d009,Customer Service,Senior Staff,9999-01-01,1954-09-17
50161,d005,Development,Senior Engineer,9999-01-01,1952-07-18
50162,d008,Research,Senior Staff,9999-01-01,1954-08-05
50163,d009,Customer Service,Senior Staff,9999-01-01,1952-09-21
50165,d004,Production,Engineer,9999-01-01,1954-02-10
50182,d008,Research,Senior Staff,9999-01-01,1954-08-28
50190,d007,Sales,Staff,9999-01-01,1952-10-03
50191,d004,Production,Assistant Engineer,9999-01-01,1954-04-19
50198,d004,Production,Engineer,9999-01-01,1953-06-23
50199,d005,Development,Engineer,9999-01-01,1952-11-12
50204,d009,Customer Service,Staff,9999-01-01,1953-05-31
50207,d007,Sales,Senior Staff,9999-01-01,1955-08-16
50218,d001,Marketing,Senior Staff,9999-01-01,1954-07-28
50223,d008,Research,Engineer,9999-01-01,1954-08-09
50224,d009,Customer Service,Senior Staff,9999-01-01,1954-07-22
50229,d002,Finance,Staff,9999-01-01,1955-05-24
50234,d005,Development,Engineer,9999-01-01,1953-07-24
50236,d005,Development,Engineer,9999-01-01,1954-12-17
50241,d006,Quality Management,Senior Engineer,9999-01-01,1952-07-08
50255,d001,Marketing,Senior Staff,9999-01-01,1955-10-31
50257,d002,Finance,Senior Staff,9999-01-01,1952-04-23
50259,d004,Production,Engineer,9999-01-01,1954-08-24
50260,d007,Sales,Staff,9999-01-01,1955-06-30
50268,d007,Sales,Senior Staff,9999-01-01,1953-06-10
50269,d004,Production,Senior Engineer,9999-01-01,1953-04-27
50273,d004,Production,Senior Engineer,9999-01-01,1952-04-12
50274,d007,Sales,Senior Staff,9999-01-01,1954-12-12
50275,d004,Production,Engineer,9999-01-01,1954-03-09
50281,d006,Quality Management,Assistant Engineer,9999-01-01,1952-12-19
50285,d007,Sales,Senior Staff,9999-01-01,1955-05-03
50287,d004,Production,Engineer,9999-01-01,1954-10-28
50291,d002,Finance,Staff,9999-01-01,1954-03-29
50294,d007,Sales,Senior Staff,9999-01-01,1953-06-24
50298,d009,Customer Service,Engineer,9999-01-01,1953-06-06
50302,d004,Production,Engineer,9999-01-01,1954-01-08
50303,d005,Development,Engineer,9999-01-01,1953-07-06
50306,d007,Sales,Staff,9999-01-01,1954-10-11
50308,d009,Customer Service,Senior Staff,9999-01-01,1954-07-11
50309,d005,Development,Senior Engineer,9999-01-01,1954-11-26
50310,d005,Development,Engineer,9999-01-01,1954-06-18
50318,d008,Research,Senior Staff,9999-01-01,1954-12-31
50320,d009,Customer Service,Senior Staff,9999-01-01,1952-02-19
50322,d004,Production,Engineer,9999-01-01,1952-03-23
50324,d004,Production,Engineer,9999-01-01,1955-08-29
50326,d005,Development,Engineer,9999-01-01,1954-12-15
50336,d006,Quality Management,Assistant Engineer,9999-01-01,1953-05-14
50338,d003,Human Resources,Staff,9999-01-01,1955-01-19
50344,d005,Development,Assistant Engineer,9999-01-01,1952-02-10
50348,d006,Quality Management,Engineer,9999-01-01,1953-10-11
50351,d009,Customer Service,Senior Staff,9999-01-01,1955-11-27
50356,d007,Sales,Senior Staff,9999-01-01,1952-02-29
50358,d004,Production,Technique Leader,9999-01-01,1954-10-15
50361,d008,Research,Senior Staff,9999-01-01,1955-09-15
50362,d007,Sales,Senior Staff,9999-01-01,1954-03-05
50363,d004,Production,Engineer,9999-01-01,1952-09-03
50367,d003,Human Resources,Senior Staff,9999-01-01,1953-05-23
50369,d007,Sales,Senior Staff,9999-01-01,1954-10-10
50377,d004,Production,Senior Engineer,9999-01-01,1953-07-17
50380,d005,Development,Assistant Engineer,9999-01-01,1953-01-08
50391,d009,Customer Service,Senior Staff,9999-01-01,1953-06-12
50393,d005,Development,Engineer,9999-01-01,1954-05-29
50395,d004,Production,Engineer,9999-01-01,1952-12-13
50397,d007,Sales,Senior Staff,9999-01-01,1955-08-20
50411,d008,Research,Senior Staff,9999-01-01,1955-09-30
50413,d004,Production,Senior Engineer,9999-01-01,1955-08-27
50414,d003,Human Resources,Senior Staff,9999-01-01,1952-06-30
50419,d005,Development,Assistant Engineer,9999-01-01,1954-08-11
50427,d002,Finance,Senior Staff,9999-01-01,1955-02-05
50431,d005,Development,Engineer,9999-01-01,1953-06-12
50437,d005,Development,Engineer,9999-01-01,1954-12-20
50439,d001,Marketing,Staff,9999-01-01,1953-07-17
50441,d003,Human Resources,Senior Staff,9999-01-01,1954-11-10
50444,d002,Finance,Senior Staff,9999-01-01,1952-07-23
50447,d005,Development,Technique Leader,9999-01-01,1953-02-12
50448,d001,Marketing,Senior Staff,9999-01-01,1954-11-30
50449,d005,Development,Engineer,9999-01-01,1952-06-30
50452,d005,Development,Engineer,9999-01-01,1953-08-31
50455,d001,Marketing,Senior Staff,9999-01-01,1952-07-04
50456,d008,Research,Senior Staff,9999-01-01,1953-06-10
50457,d009,Customer Service,Senior Staff,9999-01-01,1953-03-17
50462,d004,Production,Engineer,9999-01-01,1953-06-06
50469,d003,Human Resources,Senior Staff,9999-01-01,1955-07-03
50471,d009,Customer Service,Engineer,9999-01-01,1954-01-11
50474,d004,Production,Senior Engineer,9999-01-01,1954-05-01
50475,d005,Development,Engineer,9999-01-01,1955-03-15
50477,d006,Quality Management,Engineer,9999-01-01,1953-07-03
50478,d007,Sales,Senior Staff,9999-01-01,1955-10-13
50479,d009,Customer Service,Senior Staff,9999-01-01,1955-05-22
50489,d006,Quality Management,Engineer,9999-01-01,1954-01-25
50490,d002,Finance,Staff,9999-01-01,1954-04-15
50491,d008,Research,Staff,9999-01-01,1953-05-24
50494,d007,Sales,Senior Staff,9999-01-01,1953-04-25
50498,d004,Production,Assistant Engineer,9999-01-01,1954-07-08
50503,d002,Finance,Senior Staff,9999-01-01,1952-02-05
50505,d009,Customer Service,Senior Staff,9999-01-01,1955-01-05
50509,d005,Development,Senior Engineer,9999-01-01,1954-08-23
50512,d004,Production,Engineer,9999-01-01,1952-06-23
50513,d004,Production,Engineer,9999-01-01,1953-06-30
50514,d007,Sales,Senior Staff,9999-01-01,1952-05-09
50516,d006,Quality Management,Engineer,9999-01-01,1952-02-25
50517,d007,Sales,Senior Staff,9999-01-01,1954-02-20
50520,d007,Sales,Staff,9999-01-01,1955-04-12
50522,d007,Sales,Senior Staff,9999-01-01,1953-06-06
50526,d007,Sales,Staff,9999-01-01,1955-06-24
50536,d005,Development,Engineer,9999-01-01,1955-04-13
50541,d007,Sales,Senior Staff,9999-01-01,1952-08-12
50542,d007,Sales,Senior Staff,9999-01-01,1955-02-27
50543,d004,Production,Engineer,9999-01-01,1955-05-25
50547,d007,Sales,Senior Staff,9999-01-01,1952-09-08
50549,d005,Development,Engineer,9999-01-01,1954-06-16
50553,d004,Production,Engineer,9999-01-01,1955-12-04
50558,d004,Production,Assistant Engineer,9999-01-01,1952-08-07
50562,d005,Development,Engineer,9999-01-01,1954-03-01
50567,d004,Production,Engineer,9999-01-01,1953-07-14
50575,d006,Quality Management,Technique Leader,9999-01-01,1953-10-02
50576,d007,Sales,Senior Staff,9999-01-01,1955-08-24
50577,d003,Human Resources,Senior Staff,9999-01-01,1952-09-21
50578,d005,Development,Engineer,9999-01-01,1953-01-07
50579,d004,Production,Assistant Engineer,9999-01-01,1955-04-23
50580,d004,Production,Engineer,9999-01-01,1955-09-25
50583,d005,Development,Engineer,9999-01-01,1955-10-25
50584,d006,Quality Management,Engineer,9999-01-01,1954-06-10
50585,d003,Human Resources,Senior Staff,9999-01-01,1954-03-30
50588,d007,Sales,Staff,9999-01-01,1953-08-06
50590,d005,Development,Engineer,9999-01-01,1954-09-14
50591,d001,Marketing,Staff,9999-01-01,1953-08-02
50597,d005,Development,Engineer,9999-01-01,1955-11-17
50605,d001,Marketing,Senior Staff,9999-01-01,1952-05-18
50610,d004,Production,Senior Staff,9999-01-01,1953-02-28
50619,d001,Marketing,Senior Staff,9999-01-01,1954-06-27
50626,d004,Production,Senior Engineer,9999-01-01,1953-02-08
50636,d007,Sales,Senior Staff,9999-01-01,1955-08-17
50639,d005,Development,Technique Leader,9999-01-01,1954-09-25
50649,d004,Production,Senior Staff,9999-01-01,1955-05-22
50655,d009,Customer Service,Staff,9999-01-01,1955-11-10
50658,d008,Research,Engineer,9999-01-01,1952-09-15
50663,d005,Development,Senior Engineer,9999-01-01,1952-03-24
50664,d008,Research,Senior Staff,9999-01-01,1953-06-02
50666,d004,Production,Senior Engineer,9999-01-01,1952-07-17
50671,d009,Customer Service,Staff,9999-01-01,1954-08-11
50672,d005,Development,Engineer,9999-01-01,1954-11-29
50675,d008,Research,Senior Staff,9999-01-01,1952-12-10
50678,d007,Sales,Senior Staff,9999-01-01,1954-04-28
50680,d007,Sales,Senior Staff,9999-01-01,1955-10-20
50684,d004,Production,Assistant Engineer,9999-01-01,1953-10-23
50689,d005,Development,Senior Engineer,9999-01-01,1955-05-17
50693,d005,Development,Engineer,9999-01-01,1954-01-18
50694,d007,Sales,Senior Staff,9999-01-01,1953-07-24
50699,d005,Development,Engineer,9999-01-01,1954-01-17
50704,d004,Production,Assistant Engineer,9999-01-01,1953-01-18
50707,d004,Production,Engineer,9999-01-01,1952-06-26
50717,d005,Development,Engineer,9999-01-01,1954-04-14
50718,d002,Finance,Senior Staff,9999-01-01,1954-07-07
50719,d006,Quality Management,Senior Engineer,9999-01-01,1952-08-18
50720,d005,Development,Engineer,9999-01-01,1954-02-10
50722,d005,Development,Senior Engineer,9999-01-01,1954-03-04
50725,d009,Customer Service,Engineer,9999-01-01,1955-09-19
50732,d007,Sales,Senior Staff,9999-01-01,1955-03-22
50736,d005,Development,Technique Leader,9999-01-01,1954-10-14
50739,d004,Production,Senior Engineer,9999-01-01,1953-04-21
50750,d005,Development,Engineer,9999-01-01,1955-08-08
50751,d004,Production,Technique Leader,9999-01-01,1955-12-30
50758,d007,Sales,Senior Staff,9999-01-01,1952-12-21
50760,d007,Sales,Staff,9999-01-01,1954-06-15
50772,d009,Customer Service,Senior Staff,9999-01-01,1955-07-03
50775,d005,Development,Engineer,9999-01-01,1954-11-10
50782,d005,Development,Engineer,9999-01-01,1955-10-01
50790,d004,Production,Engineer,9999-01-01,1952-04-16
50793,d005,Development,Assistant Engineer,9999-01-01,1954-04-25
50794,d005,Development,Senior Engineer,9999-01-01,1953-07-25
50803,d006,Quality Management,Engineer,9999-01-01,1952-06-05
50805,d002,Finance,Senior Staff,9999-01-01,1953-11-28
50807,d009,Customer Service,Senior Staff,9999-01-01,1955-02-19
50810,d007,Sales,Senior Staff,9999-01-01,1953-11-16
50813,d007,Sales,Senior Staff,9999-01-01,1954-02-02
50814,d004,Production,Senior Engineer,9999-01-01,1952-07-13
50828,d004,Production,Senior Engineer,9999-01-01,1953-05-15
50833,d004,Production,Engineer,9999-01-01,1955-12-01
50838,d007,Sales,Senior Staff,9999-01-01,1953-10-18
50840,d005,Development,Engineer,9999-01-01,1952-07-04
50843,d005,Development,Engineer,9999-01-01,1955-01-23
50847,d007,Sales,Senior Staff,9999-01-01,1952-11-23
50849,d009,Customer Service,Senior Staff,9999-01-01,1954-08-17
50856,d005,Development,Engineer,9999-01-01,1954-01-19
50857,d008,Research,Senior Staff,9999-01-01,1955-05-21
50858,d004,Production,Senior Staff,9999-01-01,1954-08-28
50871,d008,Research,Senior Staff,9999-01-01,1952-05-31
50872,d009,Customer Service,Senior Staff,9999-01-01,1955-01-12
50881,d004,Production,Senior Engineer,9999-01-01,1953-07-27
50883,d008,Research,Senior Staff,9999-01-01,1954-07-16
50891,d008,Research,Senior Staff,9999-01-01,1953-09-07
50893,d007,Sales,Senior Staff,9999-01-01,1955-10-23
50895,d009,Customer Service,Senior Staff,9999-01-01,1953-08-26
50898,d005,Development,Engineer,9999-01-01,1953-10-08
50899,d007,Sales,Senior Staff,9999-01-01,1952-06-25
50901,d008,Research,Staff,9999-01-01,1955-02-14
50904,d005,Development,Senior Engineer,9999-01-01,1953-11-12
50906,d007,Sales,Senior Staff,9999-01-01,1952-08-30
50908,d005,Development,Assistant Engineer,9999-01-01,1953-11-02
50916,d006,Quality Management,Assistant Engineer,9999-01-01,1955-08-31
50919,d008,Research,Staff,9999-01-01,1954-10-25
50924,d007,Sales,Senior Staff,9999-01-01,1953-08-01
50927,d002,Finance,Senior Staff,9999-01-01,1953-05-01
50931,d004,Production,Technique Leader,9999-01-01,1953-10-21
50945,d005,Development,Engineer,9999-01-01,1955-12-27
50950,d005,Development,Engineer,9999-01-01,1955-02-22
50953,d005,Development,Senior Engineer,9999-01-01,1954-08-04
50954,d005,Development,Engineer,9999-01-01,1952-04-02
50957,d004,Production,Senior Engineer,9999-01-01,1954-10-15
50967,d003,Human Resources,Senior Staff,9999-01-01,1954-05-20
50973,d003,Human Resources,Senior Staff,9999-01-01,1955-03-24
50974,d003,Human Resources,Senior Staff,9999-01-01,1955-09-29
50983,d007,Sales,Senior Staff,9999-01-01,1954-11-30
50985,d004,Production,Engineer,9999-01-01,1953-08-28
50986,d004,Production,Engineer,9999-01-01,1955-11-15
50995,d007,Sales,Senior Staff,9999-01-01,1952-08-21
50998,d004,Production,Engineer,9999-01-01,1955-12-29
51024,d005,Development,Engineer,9999-01-01,1952-12-05
51026,d005,Development,Senior Engineer,9999-01-01,1954-12-02
51035,d009,Customer Service,Staff,9999-01-01,1954-06-13
51039,d009,Customer Service,Senior Staff,9999-01-01,1953-10-01
51041,d007,Sales,Senior Staff,9999-01-01,1955-09-17
51043,d005,Development,Engineer,9999-01-01,1955-04-28
51058,d007,Sales,Staff,9999-01-01,1954-09-25
51059,d006,Quality Management,Assistant Engineer,9999-01-01,1952-05-01
51062,d007,Sales,Senior Staff,9999-01-01,1953-09-08
51064,d007,Sales,Senior Staff,9999-01-01,1954-11-11
51072,d005,Development,Engineer,9999-01-01,1955-04-29
51074,d007,Sales,Senior Staff,9999-01-01,1955-05-23
51076,d002,Finance,Staff,9999-01-01,1955-07-01
51078,d005,Development,Engineer,9999-01-01,1953-07-22
51081,d001,Marketing,Senior Staff,9999-01-01,1953-02-08
51082,d005,Development,Engineer,9999-01-01,1953-01-11
51087,d004,Production,Senior Staff,9999-01-01,1955-06-10
51088,d008,Research,Senior Staff,9999-01-01,1952-05-16
51094,d005,Development,Engineer,9999-01-01,1955-10-03
51095,d004,Production,Senior Staff,9999-01-01,1955-01-19
51107,d004,Production,Senior Engineer,9999-01-01,1955-10-11
51112,d008,Research,Senior Staff,9999-01-01,1952-03-23
51113,d004,Production,Engineer,9999-01-01,1952-07-04
51120,d007,Sales,Senior Staff,9999-01-01,1952-07-12
51121,d007,Sales,Senior Staff,9999-01-01,1955-10-28
51126,d007,Sales,Staff,9999-01-01,1954-01-04
51132,d003,Human Resources,Senior Staff,9999-01-01,1954-05-22
51147,d005,Development,Engineer,9999-01-01,1955-03-05
51148,d001,Marketing,Senior Staff,9999-01-01,1955-08-11
51149,d004,Production,Assistant Engineer,9999-01-01,1954-12-29
51150,d007,Sales,Senior Staff,9999-01-01,1955-05-11
51156,d006,Quality Management,Engineer,9999-01-01,1953-03-22
51165,d007,Sales,Senior Staff,9999-01-01,1955-04-18
51166,d005,Development,Assistant Engineer,9999-01-01,1955-05-14
51169,d005,Development,Technique Leader,9999-01-01,1953-03-30
51175,d007,Sales,Senior Staff,9999-01-01,1953-08-18
51176,d004,Production,Engineer,9999-01-01,1954-09-15
51177,d005,Development,Engineer,9999-01-01,1954-10-18
51190,d005,Development,Engineer,9999-01-01,1955-10-25
51194,d005,Development,Engineer,9999-01-01,1953-07-13
51198,d004,Production,Senior Engineer,9999-01-01,1952-12-26
51201,d002,Finance,Senior Staff,9999-01-01,1955-02-17
51203,d005,Development,Engineer,9999-01-01,1952-04-25
51208,d001,Marketing,Senior Staff,9999-01-01,1955-08-26
51215,d004,Production,Engineer,9999-01-01,1952-12-12
51218,d008,Research,Staff,9999-01-01,1953-03-21
51219,d004,Production,Engineer,9999-01-01,1952-07-07
